Country;User
Afghanistan ;121678
Albania ;152891
Algeria ;198638
American Samoa ;173347
Andorra ;199512
Angola ;181433
Anguilla ;150248
Antigua & Barbuda ;110736
Argentina ;157219
Armenia ;156693
Aruba ;115000
Australia ;154987
Austria ;179575
Azerbaijan ;172058
Bahamas, The ;132598
Bahrain ;139306
Bangladesh ;154200
Barbados ;122224
Belarus ;114682
Belgium ;199190
Belize ;159401
Benin ;108834
Bermuda ;181251
Bhutan ;191428
Bolivia ;133124
Bosnia & Herzegovina ;193035
Botswana ;112549
Brazil ;195189
British Virgin Is. ;180546
Brunei ;188505
Bulgaria ;174836
Burkina Faso ;163002
Burma ;126223
Burundi ;106992
Cambodia ;164659
Cameroon ;149161
Canada ;172483
Cape Verde ;123612
Cayman Islands ;142030
Central African Rep. ;154766
Chad ;166318
Chile ;167610
China ;130047
Colombia ;119751
Comoros ;196367
Congo, Dem. Rep. ;163757
Congo, Repub. of the ;137973
Cook Islands ;104789
Costa Rica ;174204
Cote d'Ivoire ;181010
Croatia ;127695
Cuba ;135773
Cyprus ;155477
Czech Republic ;198626
Denmark ;134979
Djibouti ;105334
Dominica ;144987
Dominican Republic ;174763
East Timor ;155803
Ecuador ;169521
Egypt ;180144
El Salvador ;156663
Equatorial Guinea ;171622
Eritrea ;198670
Estonia ;114475
Ethiopia ;111343
Faroe Islands ;161190
Fiji ;131170
Finland ;177776
France ;154010
French Guiana ;112429
French Polynesia ;165140
Gabon ;100321
Gambia, The ;107781
Gaza Strip ;181693
Georgia ;162447
Germany ;158895
Ghana ;150734
Gibraltar ;125348
Greece ;134415
Greenland ;116264
Grenada ;116912
Guadeloupe ;161285
Guam ;112412
Guatemala ;162047
Guernsey ;106478
Guinea ;137410
Guinea-Bissau ;168354
Guyana ;110970
Haiti ;159098
Honduras ;162504
Hong Kong ;159829
Hungary ;118972
Iceland ;109458
India ;184526
Indonesia ;104163
Iran ;199589
Iraq ;159462
Ireland ;169593
Isle of Man ;180177
Israel ;117691
Italy ;135326
Jamaica ;128880
Japan ;122942
Jersey ;174645
Jordan ;173593
Kazakhstan ;165872
Kenya ;146865
Kiribati ;194301
Korea, North ;139242
Korea, South ;115024
Kuwait ;144044
Kyrgyzstan ;141426
Laos ;116542
Latvia ;197958
Lebanon ;195252
Lesotho ;115908
Liberia ;157000
Libya ;148693
Liechtenstein ;103828
Lithuania ;199044
Luxembourg ;178278
Macau ;119133
Macedonia ;183743
Madagascar ;128643
Malawi ;152572
Malaysia ;106673
Maldives ;196708
Mali ;190077
Malta ;122300
Marshall Islands ;132563
Martinique ;132797
Mauritania ;136105
Mauritius ;190190
Mayotte ;114624
Mexico ;191254
Micronesia, Fed. St. ;136337
Moldova ;162421
Monaco ;151467
Mongolia ;146098
Montserrat ;119974
Morocco ;103532
Mozambique ;146331
Namibia ;168174
Nauru ;197581
Nepal ;188932
Netherlands ;154806
Netherlands Antilles ;121826
New Caledonia ;104672
New Zealand ;150607
Nicaragua ;130070
Niger ;140791
Nigeria ;159151
N. Mariana Islands ;119883
Norway ;123064
Oman ;102739
Pakistan ;127110
Palau ;154287
Panama ;123316
Papua New Guinea ;182228
Paraguay ;185262
Peru ;116376
Philippines ;143031
Poland ;103092
Portugal ;123244
Puerto Rico ;157670
Qatar ;129244
Reunion ;125674
Romania ;185186
Russia ;112808
Rwanda ;188979
Saint Helena ;111189
Saint Kitts & Nevis ;139375
Saint Lucia ;196048
St Pierre & Miquelon ;165775
Saint Vincent and the Grenadines ;153035
Samoa ;118025
San Marino ;157217
Sao Tome & Principe ;148034
Saudi Arabia ;115139
Senegal ;103400
Serbia ;129804
Seychelles ;127248
Sierra Leone ;154433
Singapore ;110754
Slovakia ;172637
Slovenia ;177207
Solomon Islands ;189368
Somalia ;102033
South Africa ;152166
Spain ;104802
Sri Lanka ;177612
Sudan ;191926
Suriname ;128552
Swaziland ;136212
Sweden ;108069
Switzerland ;139626
Syria ;130814
Taiwan ;182565
Tajikistan ;103514
Tanzania ;171635
Thailand ;138809
Togo ;126813
Tonga ;149983
Trinidad & Tobago ;157805
Tunisia ;119087
Turkey ;192291
Turkmenistan ;117636
Turks & Caicos Is ;150084
Tuvalu ;166929
Uganda ;197299
Ukraine ;196434
United Arab Emirates ;150474
United Kingdom ;134488
United States ;102704
Uruguay ;110066
Uzbekistan ;184441
Vanuatu ;146287
Venezuela ;161205
Vietnam ;164465
Virgin Islands ;136449
Wallis and Futuna ;161032
West Bank ;138336
Western Sahara ;150252
Yemen ;172116
Zambia ;162685
Zimbabwe ;102322
